SYMBOL,COMPANY,PURPOSE,DATE,Client Name,BUY_SELL,Quantity Traded,Trade Price / Wght. Avg. Price
PARAGMILK,Parag Milk Foods Limited,Financial Results,23-Jul-2024,GRAVITON RESEARCH CAPITAL LLP,BUY,678811,200.83
PARAGMILK,Parag Milk Foods Limited,Financial Results,23-Jul-2024,GRAVITON RESEARCH CAPITAL LLP,SELL,-678811,200.92
CYBERTECH,Cybertech Systems And Software Limited,Financial Results/Other business matters,24-Jul-2024,GRAVITON RESEARCH CAPITAL LLP,BUY,224167,195.11
CYBERTECH,Cybertech Systems And Software Limited,Financial Results/Other business matters,24-Jul-2024,GRAVITON RESEARCH CAPITAL LLP,SELL,-224167,195.09
CYBERTECH,Cybertech Systems And Software Limited,Financial Results/Other business matters,24-Jul-2024,GRAVITON RESEARCH CAPITAL LLP,BUY,193199,204.20
CYBERTECH,Cybertech Systems And Software Limited,Financial Results/Other business matters,24-Jul-2024,GRAVITON RESEARCH CAPITAL LLP,SELL,-193199,204.71
CYBERTECH,Cybertech Systems And Software Limited,Financial Results/Other business matters,24-Jul-2024,GRAVITON RESEARCH CAPITAL LLP,BUY,290103,208.83
CYBERTECH,Cybertech Systems And Software Limited,Financial Results/Other business matters,24-Jul-2024,GRAVITON RESEARCH CAPITAL LLP,SELL,-290103,208.67
CYBERTECH,Cybertech Systems And Software Limited,Financial Results/Other business matters,24-Jul-2024,HRTI PRIVATE LIMITED,BUY,169205,206.00
CYBERTECH,Cybertech Systems And Software Limited,Financial Results/Other business matters,24-Jul-2024,HRTI PRIVATE LIMITED,SELL,-166330,206.42
TTML,Tata Teleservices (Maharashtra) Limited,Financial Results/Other business matters,24-Jul-2024,GRAVITON RESEARCH CAPITAL LLP,BUY,13470259,89.77
TTML,Tata Teleservices (Maharashtra) Limited,Financial Results/Other business matters,24-Jul-2024,GRAVITON RESEARCH CAPITAL LLP,SELL,-13470259,89.81
TTML,Tata Teleservices (Maharashtra) Limited,Financial Results/Other business matters,24-Jul-2024,HRTI PRIVATE LIMITED,BUY,9824747,90.92
TTML,Tata Teleservices (Maharashtra) Limited,Financial Results/Other business matters,24-Jul-2024,HRTI PRIVATE LIMITED,SELL,-8014712,90.17
TTML,Tata Teleservices (Maharashtra) Limited,Financial Results/Other business matters,24-Jul-2024,AAKRAYA RESEARCH LLP,BUY,17444422,105.46
