SYMBOL,frequency,clients
CHENNPETRO,2,['GRAVITON RESEARCH CAPITAL LLP']
CYBERTECH,8,"['GRAVITON RESEARCH CAPITAL LLP', 'HRTI PRIVATE LIMITED']"
GODREJCP,1,['R K N ENTERPRISES']
HBLPOWER,2,['GRAVITON RESEARCH CAPITAL LLP']
KREBSBIO,4,"['N.G.C.S. (P) LTD.', 'NK SECURITIES RESEARCH PRIVATE LIMITED']"
MTNL,81,"['CLT RESEARCH TECH PRIVATE LTD', 'GRAVITON RESEARCH CAPITAL LLP', 'HRTI PRIVATE LIMITED', 'KAMLESH BABALAL SHAH', 'QE SECURITIES LLP', 'AAKRAYA RESEARCH LLP', 'DIPAN MEHTA COMMODITIES PRIVATE LIMITED', 'JAINAM BROKING LIMITED', 'MANSI SHARE AND STOCK ADVISORS PVT LTD', 'MICROCURVES TRADING PRIVATE LIMITED', 'NAMAN SECURITIES & FINANCE PVT LTD', 'QUADRATURE CAPITAL VECTOR SP LIMITED', 'SHARE INDIA SECURITIES LIMITED', 'BONANZA PORTFOLIO LTD', 'F3 ADVISORS PRIVATE LIMITED', 'JSI INVESTMENTS PRIVATE LIMITED', 'MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED', 'N.G.C.S. (P) LTD.', 'NK SECURITIES RESEARCH PRIVATE LIMITED', 'SETU SECURITIES PVT LTD', 'STOCK VERTEX VENTURES']"
NOCIL,2,['GRAVITON RESEARCH CAPITAL LLP']
ONMOBILE,8,"['GRAVITON RESEARCH CAPITAL LLP', 'HRTI PRIVATE LIMITED', 'QE SECURITIES LLP']"
PARAGMILK,2,['GRAVITON RESEARCH CAPITAL LLP']
PILITA,10,"['HEMALI PATHIK THAKKAR', 'HJS SECURITIES PRIVATE LIMITED', 'MULTIPLIER SHARE & STOCK ADVISORS PRIVATE LIMITED', 'SAJM GLOBAL IMPEX PRIVATE LIMITED', 'UMA SHANKAR EXIM PRIVATE LIMITED']"
QUICKHEAL,2,['GRAVITON RESEARCH CAPITAL LLP']
TTML,10,"['GRAVITON RESEARCH CAPITAL LLP', 'HRTI PRIVATE LIMITED', 'AAKRAYA RESEARCH LLP']"
VSTIND,2,['GRAVITON RESEARCH CAPITAL LLP']
